pageid,ns,title,contentmodel,pagelanguage,pagelanguagehtmlcode,pagelanguagedir,touched,lastrevid,length,talkid,fullurl,editurl,canonicalurl,article_rating,watchers,redirect,new
40960242,0,Mohammad Ghous Bashiri,wikitext,en,en,ltr,2024-10-13T20:06:09Z,1237694188,2720,40960350.0,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,https://en.wikipedia.org/w/index.php?title=Mohammad_Ghous_Bashiri&action=edit,https://en.wikipedia.org/wiki/Mohammad_Ghous_Bashiri,Start,,,
26027316,0,Mohammad Gul (Helmand Council),wikitext,en,en,ltr,2024-10-13T20:04:49Z,1136611354,1291,26033667.0,https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),https://en.wikipedia.org/w/index.php?title=Mohammad_Gul_(Helmand_Council)&action=edit,https://en.wikipedia.org/wiki/Mohammad_Gul_(Helmand_Council),Stub,,,
45419022,0,Mohammad Khan (athlete),wikitext,en,en,ltr,2024-10-12T10:27:59Z,1247727443,1245,47327685.0,https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),https://en.wikipedia.org/w/index.php?title=Mohammad_Khan_(athlete)&action=edit,https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Stub,,,
27664854,0,Mohammad Sarwar Ahmedzai,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1176429234,4420,60642795.0,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,https://en.wikipedia.org/w/index.php?title=Mohammad_Sarwar_Ahmedzai&action=edit,https://en.wikipedia.org/wiki/Mohammad_Sarwar_Ahmedzai,Start,,,
14454477,0,Mohammad Siddiq Chakari,wikitext,en,en,ltr,2024-09-27T00:25:02Z,1134129082,1808,14454495.0,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,https://en.wikipedia.org/w/index.php?title=Mohammad_Siddiq_Chakari&action=edit,https://en.wikipedia.org/wiki/Mohammad_Siddiq_Chakari,Stub,,,
26835722,0,Muhammad Hashim Esmatullahi,wikitext,en,en,ltr,2024-10-08T01:15:48Z,949986748,2254,26840249.0,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,https://en.wikipedia.org/w/index.php?title=Muhammad_Hashim_Esmatullahi&action=edit,https://en.wikipedia.org/wiki/Muhammad_Hashim_Esmatullahi,Stub,,,
70019038,0,Muqadasa Ahmadzai,wikitext,en,en,ltr,2024-10-12T10:32:44Z,1235521766,3796,70021080.0,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,https://en.wikipedia.org/w/index.php?title=Muqadasa_Ahmadzai&action=edit,https://en.wikipedia.org/wiki/Muqadasa_Ahmadzai,Start,,,
8575012,0,Musa Hotak,wikitext,en,en,ltr,2024-09-27T00:01:49Z,1246566804,3007,9295688.0,https://en.wikipedia.org/wiki/Musa_Hotak,https://en.wikipedia.org/w/index.php?title=Musa_Hotak&action=edit,https://en.wikipedia.org/wiki/Musa_Hotak,Start,,,
59378987,0,Nasir Ahmad Durrani,wikitext,en,en,ltr,2024-09-27T02:16:56Z,988838315,2435,59397424.0,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,https://en.wikipedia.org/w/index.php?title=Nasir_Ahmad_Durrani&action=edit,https://en.wikipedia.org/wiki/Nasir_Ahmad_Durrani,Stub,,,
22588409,0,Nasrullah Baryalai Arsalai,wikitext,en,en,ltr,2024-10-13T20:04:32Z,1225385278,7127,22639116.0,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,https://en.wikipedia.org/w/index.php?title=Nasrullah_Baryalai_Arsalai&action=edit,https://en.wikipedia.org/wiki/Nasrullah_Baryalai_Arsalai,Start,,,
41835910,0,Qutbuddin Hilal,wikitext,en,en,ltr,2024-10-11T16:51:31Z,1246566795,3403,41837941.0,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,https://en.wikipedia.org/w/index.php?title=Qutbuddin_Hilal&action=edit,https://en.wikipedia.org/wiki/Qutbuddin_Hilal,Start,,,
16351100,0,Rafiullah Bidar,wikitext,en,en,ltr,2024-09-27T00:31:39Z,1197443408,3439,28093476.0,https://en.wikipedia.org/wiki/Rafiullah_Bidar,https://en.wikipedia.org/w/index.php?title=Rafiullah_Bidar&action=edit,https://en.wikipedia.org/wiki/Rafiullah_Bidar,Stub,,,
68487239,0,Rangina Hamidi,wikitext,en,en,ltr,2024-10-12T10:32:32Z,1234743111,12718,68503822.0,https://en.wikipedia.org/wiki/Rangina_Hamidi,https://en.wikipedia.org/w/index.php?title=Rangina_Hamidi&action=edit,https://en.wikipedia.org/wiki/Rangina_Hamidi,C,,,
17013397,0,Razaq Mamoon,wikitext,en,en,ltr,2024-10-13T20:04:10Z,1227180106,4078,28093653.0,https://en.wikipedia.org/wiki/Razaq_Mamoon,https://en.wikipedia.org/w/index.php?title=Razaq_Mamoon&action=edit,https://en.wikipedia.org/wiki/Razaq_Mamoon,Start,43.0,,
6392185,0,Said Tayeb Jawad,wikitext,en,en,ltr,2024-10-13T15:56:34Z,1248976824,29048,7156482.0,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,https://en.wikipedia.org/w/index.php?title=Said_Tayeb_Jawad&action=edit,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,C,68.0,,
7493859,0,Samoud Khan,wikitext,en,en,ltr,2024-09-29T00:40:43Z,1195409073,4068,9287527.0,https://en.wikipedia.org/wiki/Samoud_Khan,https://en.wikipedia.org/w/index.php?title=Samoud_Khan&action=edit,https://en.wikipedia.org/wiki/Samoud_Khan,Start,,,
21500352,0,Sayed Jalal,wikitext,en,en,ltr,2024-09-30T20:32:04Z,1137130537,2913,21502485.0,https://en.wikipedia.org/wiki/Sayed_Jalal,https://en.wikipedia.org/w/index.php?title=Sayed_Jalal&action=edit,https://en.wikipedia.org/wiki/Sayed_Jalal,Start,,,
27668571,0,Sayed Jalal Karim,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1136614743,4009,28093484.0,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,https://en.wikipedia.org/w/index.php?title=Sayed_Jalal_Karim&action=edit,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Start,,,
72051141,0,Sayed Yousuf Halim,wikitext,en,en,ltr,2024-10-12T10:32:58Z,1234514565,4686,72051146.0,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,https://en.wikipedia.org/w/index.php?title=Sayed_Yousuf_Halim&action=edit,https://en.wikipedia.org/wiki/Sayed_Yousuf_Halim,Stub,,,
52438868,0,Sayed Zafar Hashemi,wikitext,en,en,ltr,2024-10-13T16:05:38Z,1179137138,3053,52492081.0,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,https://en.wikipedia.org/w/index.php?title=Sayed_Zafar_Hashemi&action=edit,https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi,Start,,,
8054084,0,Sharif Ghalib,wikitext,en,en,ltr,2024-09-28T23:10:01Z,1245967190,10292,8284074.0,https://en.wikipedia.org/wiki/Sharif_Ghalib,https://en.wikipedia.org/w/index.php?title=Sharif_Ghalib&action=edit,https://en.wikipedia.org/wiki/Sharif_Ghalib,Start,100.0,,
46841383,0,Tayyab Agha,wikitext,en,en,ltr,2024-10-13T16:04:54Z,1225661708,6346,46843786.0,https://en.wikipedia.org/wiki/Tayyab_Agha,https://en.wikipedia.org/w/index.php?title=Tayyab_Agha&action=edit,https://en.wikipedia.org/wiki/Tayyab_Agha,Start,,,
27656055,0,Abdul Ghafor Zori,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1136614520,2711,28093426.0,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,https://en.wikipedia.org/w/index.php?title=Abdul_Ghafor_Zori&action=edit,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Stub,,,
69128654,0,Abdul Karim Misaq,wikitext,en,en,ltr,2024-10-13T16:08:06Z,1235405154,2938,69128772.0,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,https://en.wikipedia.org/w/index.php?title=Abdul_Karim_Misaq&action=edit,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Stub,,,
27678731,0,Abdul Majid Samim,wikitext,en,en,ltr,2024-10-13T20:04:55Z,1225425205,3823,28093433.0,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,https://en.wikipedia.org/w/index.php?title=Abdul_Majid_Samim&action=edit,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Stub,,,
627316,0,Abdul Salam Zaeef,wikitext,en,en,ltr,2024-10-12T10:13:06Z,1243758857,25071,6597825.0,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,https://en.wikipedia.org/w/index.php?title=Abdul_Salam_Zaeef&action=edit,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,GA,32.0,,
